Country,Confirmed,Deaths,Recovered,Active,Date
Turkey,171121,4711,141380,25030,2020-06-08 00:00:00 +0000 UTC
Turkey,172114,4729,144598,22787,2020-06-09 00:00:00 +0000 UTC
Turkey,173036,4746,146839,21451,2020-06-10 00:00:00 +0000 UTC
Turkey,174023,4763,147860,21400,2020-06-11 00:00:00 +0000 UTC
Turkey,175218,4778,149102,21338,2020-06-12 00:00:00 +0000 UTC
Turkey,176677,4792,150087,21798,2020-06-13 00:00:00 +0000 UTC
Turkey,178239,4807,151417,22015,2020-06-14 00:00:00 +0000 UTC
Turkey,179831,4825,152364,22642,2020-06-15 00:00:00 +0000 UTC
Turkey,181298,4842,153379,23077,2020-06-16 00:00:00 +0000 UTC
Turkey,182727,4861,154640,23226,2020-06-17 00:00:00 +0000 UTC
Turkey,184031,4882,156022,23127,2020-06-18 00:00:00 +0000 UTC
Turkey,185245,4905,157516,22824,2020-06-19 00:00:00 +0000 UTC
Turkey,186493,4927,158828,22738,2020-06-20 00:00:00 +0000 UTC
Turkey,187685,4950,160240,22495,2020-06-21 00:00:00 +0000 UTC
Turkey,188897,4974,161533,22390,2020-06-22 00:00:00 +0000 UTC
Turkey,190165,5001,162848,22316,2020-06-23 00:00:00 +0000 UTC
Turkey,191657,5025,164234,22398,2020-06-24 00:00:00 +0000 UTC
Turkey,193115,5046,165706,22363,2020-06-25 00:00:00 +0000 UTC
Turkey,194511,5065,167198,22248,2020-06-26 00:00:00 +0000 UTC
Turkey,195883,5082,169182,21619,2020-06-27 00:00:00 +0000 UTC
Turkey,197239,5097,170595,21547,2020-06-28 00:00:00 +0000 UTC
Turkey,198613,5115,171809,21689,2020-06-29 00:00:00 +0000 UTC
Turkey,199906,5131,173111,21664,2020-06-30 00:00:00 +0000 UTC
Turkey,201098,5150,175422,20526,2020-07-01 00:00:00 +0000 UTC
Turkey,202284,5167,176965,20152,2020-07-02 00:00:00 +0000 UTC
Turkey,203456,5186,178278,19992,2020-07-03 00:00:00 +0000 UTC
Turkey,204610,5206,179492,19912,2020-07-04 00:00:00 +0000 UTC
Turkey,205758,5225,180680,19853,2020-07-05 00:00:00 +0000 UTC
Turkey,206844,5241,182995,18608,2020-07-06 00:00:00 +0000 UTC
Turkey,207897,5260,185292,17345,2020-07-07 00:00:00 +0000 UTC
Turkey,208938,5282,187511,16145,2020-07-08 00:00:00 +0000 UTC
Turkey,209962,5300,190390,14272,2020-07-09 00:00:00 +0000 UTC
Turkey,210965,5323,191883,13759,2020-07-10 00:00:00 +0000 UTC
Turkey,211981,5344,193217,13420,2020-07-11 00:00:00 +0000 UTC
Turkey,212993,5363,194515,13115,2020-07-12 00:00:00 +0000 UTC
Turkey,214001,5382,195671,12948,2020-07-13 00:00:00 +0000 UTC
Turkey,214993,5402,196720,12871,2020-07-14 00:00:00 +0000 UTC
Turkey,215940,5419,197733,12788,2020-07-15 00:00:00 +0000 UTC
Turkey,216873,5440,198820,12613,2020-07-16 00:00:00 +0000 UTC
Turkey,217799,5458,199834,12507,2020-07-17 00:00:00 +0000 UTC
Turkey,218717,5475,201013,12229,2020-07-18 00:00:00 +0000 UTC
Turkey,219641,5491,202010,12140,2020-07-19 00:00:00 +0000 UTC
Turkey,220572,5508,203002,12062,2020-07-20 00:00:00 +0000 UTC
Turkey,221500,5526,204011,11963,2020-07-21 00:00:00 +0000 UTC
Turkey,222402,5545,205214,11643,2020-07-22 00:00:00 +0000 UTC
Turkey,223315,5563,206365,11387,2020-07-23 00:00:00 +0000 UTC
Turkey,224252,5580,207374,11298,2020-07-24 00:00:00 +0000 UTC
Turkey,225173,5596,208477,11100,2020-07-25 00:00:00 +0000 UTC
Turkey,226100,5613,209487,11000,2020-07-26 00:00:00 +0000 UTC
Turkey,227019,5630,210469,10920,2020-07-27 00:00:00 +0000 UTC
Turkey,227982,5645,211561,10776,2020-07-28 00:00:00 +0000 UTC
Turkey,228924,5659,212557,10708,2020-07-29 00:00:00 +0000 UTC
Turkey,229891,5674,213539,10678,2020-07-30 00:00:00 +0000 UTC
Turkey,230873,5691,214535,10647,2020-07-31 00:00:00 +0000 UTC
Turkey,231869,5710,215516,10643,2020-08-01 00:00:00 +0000 UTC
Turkey,232856,5728,216494,10634,2020-08-02 00:00:00 +0000 UTC
Turkey,233851,5747,217497,10607,2020-08-03 00:00:00 +0000 UTC
Turkey,234934,5765,218491,10678,2020-08-04 00:00:00 +0000 UTC
Turkey,236112,5784,219506,10822,2020-08-05 00:00:00 +0000 UTC
Turkey,237265,5798,220546,10921,2020-08-06 00:00:00 +0000 UTC
Turkey,238450,5813,221574,11063,2020-08-07 00:00:00 +0000 UTC
Turkey,239622,5829,222656,11137,2020-08-08 00:00:00 +0000 UTC
Turkey,240804,5844,223759,11201,2020-08-09 00:00:00 +0000 UTC
Turkey,241997,5858,224970,11169,2020-08-10 00:00:00 +0000 UTC
Turkey,243180,5873,226155,11152,2020-08-11 00:00:00 +0000 UTC
Turkey,244392,5891,227089,11412,2020-08-12 00:00:00 +0000 UTC
Turkey,245635,5912,228057,11666,2020-08-13 00:00:00 +0000 UTC
Turkey,246861,5934,228980,11947,2020-08-14 00:00:00 +0000 UTC
Turkey,248117,5955,229972,12190,2020-08-15 00:00:00 +0000 UTC
Turkey,249309,5974,230969,12366,2020-08-16 00:00:00 +0000 UTC
Turkey,250542,5996,231971,12575,2020-08-17 00:00:00 +0000 UTC
Turkey,251805,6016,232913,12876,2020-08-18 00:00:00 +0000 UTC
Turkey,253108,6039,233915,13154,2020-08-19 00:00:00 +0000 UTC
Turkey,254520,6058,234797,13665,2020-08-20 00:00:00 +0000 UTC
Turkey,255723,6080,235569,14074,2020-08-21 00:00:00 +0000 UTC
Turkey,257032,6102,236370,14560,2020-08-22 00:00:00 +0000 UTC
Turkey,258249,6121,237165,14963,2020-08-23 00:00:00 +0000 UTC
Turkey,259692,6139,237908,15645,2020-08-24 00:00:00 +0000 UTC
Turkey,261194,6163,238795,16236,2020-08-25 00:00:00 +0000 UTC
Turkey,262507,6183,239797,16527,2020-08-26 00:00:00 +0000 UTC
Turkey,263998,6209,240792,16997,2020-08-27 00:00:00 +0000 UTC
Turkey,265515,6245,241809,17461,2020-08-28 00:00:00 +0000 UTC
Turkey,267064,6284,242812,17968,2020-08-29 00:00:00 +0000 UTC
Turkey,268546,6326,243839,18381,2020-08-30 00:00:00 +0000 UTC
Turkey,270133,6370,244926,18837,2020-08-31 00:00:00 +0000 UTC
Turkey,271705,6417,245929,19359,2020-09-01 00:00:00 +0000 UTC
Turkey,273301,6462,246876,19963,2020-09-02 00:00:00 +0000 UTC
Turkey,274943,6511,248087,20345,2020-09-03 00:00:00 +0000 UTC
Turkey,276555,6564,249108,20883,2020-09-04 00:00:00 +0000 UTC
Turkey,278228,6620,250092,21516,2020-09-05 00:00:00 +0000 UTC
Turkey,279806,6673,251105,22028,2020-09-06 00:00:00 +0000 UTC
Turkey,281509,6730,252152,22627,2020-09-07 00:00:00 +0000 UTC
Turkey,283270,6782,253245,23243,2020-09-08 00:00:00 +0000 UTC
Turkey,284943,6837,254188,23918,2020-09-09 00:00:00 +0000 UTC
Turkey,286455,6895,255407,24153,2020-09-10 00:00:00 +0000 UTC
Turkey,288126,6951,256524,24651,2020-09-11 00:00:00 +0000 UTC
Turkey,289635,6999,257731,24905,2020-09-12 00:00:00 +0000 UTC
Turkey,291162,7056,258833,25273,2020-09-13 00:00:00 +0000 UTC
Turkey,292878,7119,260058,25701,2020-09-14 00:00:00 +0000 UTC
Turkey,294620,7186,261260,26174,2020-09-15 00:00:00 +0000 UTC
Turkey,296391,7249,262602,26540,2020-09-16 00:00:00 +0000 UTC
Turkey,298039,7315,263745,26979,2020-09-17 00:00:00 +0000 UTC
Turkey,299810,7377,264805,27628,2020-09-18 00:00:00 +0000 UTC
Turkey,301348,7445,266117,27786,2020-09-19 00:00:00 +0000 UTC
Turkey,302867,7506,267233,28128,2020-09-20 00:00:00 +0000 UTC
Turkey,304610,7574,268435,28601,2020-09-21 00:00:00 +0000 UTC
Turkey,306302,7639,269696,28967,2020-09-22 00:00:00 +0000 UTC
Turkey,308069,7711,270723,29635,2020-09-23 00:00:00 +0000 UTC
Turkey,309790,7785,271964,30041,2020-09-24 00:00:00 +0000 UTC
Turkey,311455,7858,273282,30315,2020-09-25 00:00:00 +0000 UTC
Turkey,312966,7929,274514,30523,2020-09-26 00:00:00 +0000 UTC
Turkey,314433,7997,275630,30806,2020-09-27 00:00:00 +0000 UTC
Turkey,315845,8062,277052,30731,2020-09-28 00:00:00 +0000 UTC
Turkey,317272,8130,278504,30638,2020-09-29 00:00:00 +0000 UTC
Turkey,318663,8195,279749,30719,2020-09-30 00:00:00 +0000 UTC
Turkey,320070,8262,281151,30657,2020-10-01 00:00:00 +0000 UTC
Turkey,321512,8325,282657,30530,2020-10-02 00:00:00 +0000 UTC
Turkey,323014,8384,283868,30762,2020-10-03 00:00:00 +0000 UTC
Turkey,324443,8441,285050,30952,2020-10-04 00:00:00 +0000 UTC
Turkey,326046,8498,286370,31178,2020-10-05 00:00:00 +0000 UTC
Turkey,327557,8553,287599,31405,2020-10-06 00:00:00 +0000 UTC
Turkey,329138,8609,288954,31575,2020-10-07 00:00:00 +0000 UTC
Turkey,330753,8667,290352,31734,2020-10-08 00:00:00 +0000 UTC
Turkey,332382,8722,291754,31906,2020-10-09 00:00:00 +0000 UTC
Turkey,334031,8778,293145,32108,2020-10-10 00:00:00 +0000 UTC
Turkey,335533,8837,294357,32339,2020-10-11 00:00:00 +0000 UTC
Turkey,337147,8895,295658,32594,2020-10-12 00:00:00 +0000 UTC
Turkey,338779,8957,296972,32850,2020-10-13 00:00:00 +0000 UTC
Turkey,340450,9014,298368,33068,2020-10-14 00:00:00 +0000 UTC
Turkey,342143,9080,299679,33384,2020-10-15 00:00:00 +0000 UTC
Turkey,343955,9153,301098,33704,2020-10-16 00:00:00 +0000 UTC
Turkey,345678,9224,302499,33955,2020-10-17 00:00:00 +0000 UTC
Turkey,347493,9296,304003,34194,2020-10-18 00:00:00 +0000 UTC
Turkey,349519,9371,305427,34721,2020-10-19 00:00:00 +0000 UTC
Turkey,351413,9445,306939,35029,2020-10-20 00:00:00 +0000 UTC
Turkey,353426,9513,308446,35467,2020-10-21 00:00:00 +0000 UTC
Turkey,355528,9584,310027,35917,2020-10-22 00:00:00 +0000 UTC
Turkey,357693,9658,311520,36515,2020-10-23 00:00:00 +0000 UTC
Turkey,359784,9727,313093,36964,2020-10-24 00:00:00 +0000 UTC
Turkey,361801,9799,314390,37612,2020-10-25 00:00:00 +0000 UTC
Turkey,363999,9874,316008,38117,2020-10-26 00:00:00 +0000 UTC
Turkey,366208,9950,317519,38739,2020-10-27 00:00:00 +0000 UTC
Turkey,368513,10027,319181,39305,2020-10-28 00:00:00 +0000 UTC
Turkey,370832,10099,320762,39971,2020-10-29 00:00:00 +0000 UTC
Turkey,373154,10177,322465,40512,2020-10-30 00:00:00 +0000 UTC
Turkey,375367,10252,323971,41144,2020-10-31 00:00:00 +0000 UTC
Turkey,377473,10326,325486,41661,2020-11-01 00:00:00 +0000 UTC
Turkey,379775,10402,327007,42366,2020-11-02 00:00:00 +0000 UTC
Turkey,382118,10481,328824,42813,2020-11-03 00:00:00 +0000 UTC
Turkey,384509,10558,330665,43286,2020-11-04 00:00:00 +0000 UTC
Turkey,386820,10639,332379,43802,2020-11-05 00:00:00 +0000 UTC
Turkey,389256,10722,334293,44241,2020-11-06 00:00:00 +0000 UTC
Turkey,391739,10803,336221,44715,2020-11-07 00:00:00 +0000 UTC
Turkey,394255,10887,338239,45129,2020-11-08 00:00:00 +0000 UTC
Turkey,396831,10972,340286,45573,2020-11-09 00:00:00 +0000 UTC
Turkey,399360,11059,342501,45800,2020-11-10 00:00:00 +0000 UTC
Turkey,402053,11145,344613,46295,2020-11-11 00:00:00 +0000 UTC
Turkey,404894,11233,346794,46867,2020-11-12 00:00:00 +0000 UTC
Turkey,407939,11326,348804,47809,2020-11-13 00:00:00 +0000 UTC
Turkey,411055,11418,351102,48535,2020-11-14 00:00:00 +0000 UTC
Turkey,414278,11507,353663,49108,2020-11-15 00:00:00 +0000 UTC
Turkey,417594,11601,356375,49618,2020-11-16 00:00:00 +0000 UTC
Turkey,421413,11704,359063,50646,2020-11-17 00:00:00 +0000 UTC
Turkey,425628,11820,361655,52153,2020-11-18 00:00:00 +0000 UTC
Turkey,430170,11943,364573,53654,2020-11-19 00:00:00 +0000 UTC
Turkey,435273,12084,367592,55597,2020-11-20 00:00:00 +0000 UTC
Turkey,440805,12219,370825,57761,2020-11-21 00:00:00 +0000 UTC
Turkey,446822,12358,374637,59827,2020-11-22 00:00:00 +0000 UTC
Turkey,453535,12511,377891,63133,2020-11-23 00:00:00 +0000 UTC
Turkey,460916,12672,381569,66675,2020-11-24 00:00:00 +0000 UTC
Turkey,467730,12840,385480,69410,2020-11-25 00:00:00 +0000 UTC
Turkey,503738,13014,388771,101953,2020-11-26 00:00:00 +0000 UTC
Turkey,548244,13191,392616,142437,2020-11-27 00:00:00 +0000 UTC
Turkey,578347,13373,396227,168747,2020-11-28 00:00:00 +0000 UTC
Turkey,607628,13558,400242,193828,2020-11-29 00:00:00 +0000 UTC
Turkey,638847,13746,404727,220374,2020-11-30 00:00:00 +0000 UTC
Turkey,668957,13936,409320,245701,2020-12-01 00:00:00 +0000 UTC
Turkey,700880,14129,414141,272610,2020-12-02 00:00:00 +0000 UTC
Turkey,733261,14316,418331,300614,2020-12-03 00:00:00 +0000 UTC
Turkey,765997,14509,423142,328346,2020-12-04 00:00:00 +0000 UTC
Turkey,797893,14705,427242,355946,2020-12-05 00:00:00 +0000 UTC
Turkey,828295,14900,431253,382142,2020-12-06 00:00:00 +0000 UTC
Turkey,860432,15103,436270,409059,2020-12-07 00:00:00 +0000 UTC
Turkey,893630,15314,441515,436801,2020-12-08 00:00:00 +0000 UTC
Turkey,925342,15531,447361,462450,2020-12-09 00:00:00 +0000 UTC
Turkey,1748567,15751,452593,1280223,2020-12-10 00:00:00 +0000 UTC
Turkey,1780673,15977,458109,1306587,2020-12-11 00:00:00 +0000 UTC
Turkey,1809809,16199,1581565,212045,2020-12-12 00:00:00 +0000 UTC
Turkey,1836728,16417,1603780,216531,2020-12-13 00:00:00 +0000 UTC
Turkey,1866345,16646,1631944,217755,2020-12-14 00:00:00 +0000 UTC
Turkey,1898447,16881,1661191,220375,2020-12-15 00:00:00 +0000 UTC
Turkey,1928165,17121,1691113,219931,2020-12-16 00:00:00 +0000 UTC
Turkey,1955680,17364,1721607,216709,2020-12-17 00:00:00 +0000 UTC
Turkey,1982090,17610,1753552,210928,2020-12-18 00:00:00 +0000 UTC
Turkey,2004285,17851,1779068,207366,2020-12-19 00:00:00 +0000 UTC
Turkey,2024601,18097,1800286,206218,2020-12-20 00:00:00 +0000 UTC
Turkey,2043704,18351,1834705,190648,2020-12-21 00:00:00 +0000 UTC
Turkey,2062960,18602,1866815,177543,2020-12-22 00:00:00 +0000 UTC
Turkey,2082610,18861,1901307,162442,2020-12-23 00:00:00 +0000 UTC
Turkey,2100712,19115,1935292,146305,2020-12-24 00:00:00 +0000 UTC
Turkey,2118255,19371,1970803,128081,2020-12-25 00:00:00 +0000 UTC
Turkey,2133373,19624,1994034,119715,2020-12-26 00:00:00 +0000 UTC
Turkey,2147578,19878,2015230,112470,2020-12-27 00:00:00 +0000 UTC
Turkey,2162775,20135,2037433,105207,2020-12-28 00:00:00 +0000 UTC
Turkey,2178580,20388,2058437,99755,2020-12-29 00:00:00 +0000 UTC
Turkey,2194272,20642,2078629,95001,2020-12-30 00:00:00 +0000 UTC
Turkey,2208652,20881,2100650,87121,2020-12-31 00:00:00 +0000 UTC
Turkey,2220855,21093,2114760,85002,2021-01-01 00:00:00 +0000 UTC
Turkey,2232035,21295,2126432,84308,2021-01-02 00:00:00 +0000 UTC
Turkey,2241912,21488,2136534,83890,2021-01-03 00:00:00 +0000 UTC
Turkey,2255607,21685,2146430,87492,2021-01-04 00:00:00 +0000 UTC
Turkey,2270101,21879,2155338,92884,2021-01-05 00:00:00 +0000 UTC
Turkey,2283931,22070,2164040,97821,2021-01-06 00:00:00 +0000 UTC
Turkey,2296102,22264,2172251,101587,2021-01-07 00:00:00 +0000 UTC
Turkey,2307581,22450,2182145,102986,2021-01-08 00:00:00 +0000 UTC
Turkey,2317118,22631,2190047,104440,2021-01-09 00:00:00 +0000 UTC
Turkey,2326256,22807,2198150,105299,2021-01-10 00:00:00 +0000 UTC
Turkey,2336476,22981,2208451,105044,2021-01-11 00:00:00 +0000 UTC
Turkey,2346285,23152,2218464,104669,2021-01-12 00:00:00 +0000 UTC
Turkey,2355839,23325,2227927,104587,2021-01-13 00:00:00 +0000 UTC
Turkey,2364801,23495,2236938,104368,2021-01-14 00:00:00 +0000 UTC
Turkey,2373115,23664,2246047,103404,2021-01-15 00:00:00 +0000 UTC
Turkey,2380665,23832,2254052,102781,2021-01-16 00:00:00 +0000 UTC
Turkey,2387101,23997,2262864,100240,2021-01-17 00:00:00 +0000 UTC
Turkey,2392963,24161,2270769,98033,2021-01-18 00:00:00 +0000 UTC
Turkey,2399781,24328,2277987,97466,2021-01-19 00:00:00 +0000 UTC
Turkey,2406216,24487,2283919,97810,2021-01-20 00:00:00 +0000 UTC
Turkey,2412505,24640,2290032,97833,2021-01-21 00:00:00 +0000 UTC
Turkey,2418472,24789,2296050,97633,2021-01-22 00:00:00 +0000 UTC
Turkey,2424328,24933,2301861,97534,2021-01-23 00:00:00 +0000 UTC
Turkey,2429605,25073,2307721,96811,2021-01-24 00:00:00 +0000 UTC
Turkey,2435247,25210,2314403,95634,2021-01-25 00:00:00 +0000 UTC
Turkey,2442350,25344,2322511,94495,2021-01-26 00:00:00 +0000 UTC
